trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-262.77754123761304,"{0: 16, 1: 5, 2: 9, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-63.59581017790022,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-180.97781760224177,"{0: 21, 1: 1, 2: 2, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-61.98043700212028,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-143.99744126901305,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-137.44443835264747,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-83.91608743584776,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.7046880897187134}",30,0,-147.09036986106162,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-38.95169884181154,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,0,-69.53285003921891,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-95.45245785904129,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,4,-35.189405254808314,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5488116360940264}",30,10,-48.872527574705806,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.522045776761016}",35,9,-89.22540967268972,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,16,-12.6034219289363,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,7,-16.59587007867301,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-59.55090441902906,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.42741493194872665}",35,11,3.634289198237149,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-22.89065268504255,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,8,2.1584507128105184,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
