trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.03287566928332,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.12699557366554,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-77.53467467898248,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.52109576120942,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.73243638266797,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,18,-49.517038344892065,"{0: 6, 1: 3, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.83485831121237,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-108.51072159103676,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,4,-131.23140482005107,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.29666227901394,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.88645574456939,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.693865142376936,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.7457281150392,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,2,-77.12077350734276,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,5,-79.13267282434306,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.50389694728216,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,10,-29.069609667659225,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.8858326333798,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.2216628855877,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,4,-155.0524036247,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.44468026713889,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-248.1881201447718,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.26132750413258,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.4763378659409,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.25331971319152,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.03080827674014,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,10,-110.86921938111506,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.21690714222727,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,17,-13.470074745653971,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.90565370686466,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
